enterprise,job,salary,jd_keywords
京东数科,产品管理岗（数据分析与建模实习）,120-150/天,"Index(['建模', '信用风险', '具有', '建立', '特征', '熟练', '数据分析', '模型', '用户', '金融', '分析',
       '全日制', '经验', '资格', '专业'],
      dtype='object')"
铸保,数据分析,400-500/天,"Index(['数据', '清洗', '具有', '优先', '脚本', '数据挖掘', '提高', '经历', '经验', '资格', '分类',
       '规则', '自然语言', '根据', '程序'],
      dtype='object')"
联想,用户数据分析助理,100-150/天,"Index(['拍摄', '小视频', '策划', '交互', '分项', '学习', '用户', '执行力', '文字', '功底', '市场推广',
       '热爱', '分析', '一定', '基本'],
      dtype='object')"
泰豪智能,数据分析（应届户口）,200-300/天,"Index(['研究生', '硕士', '实习', '统招', '数据分析', '具有', '解决', '企业', '专业', '经验', '跟着',
       '模型', '或者', '软件系统', '自动化'],
      dtype='object')"
 艺恩世纪 ,文娱数据分析（实习）,100-150/天,"Index(['娱乐', '研究', '完成', '电影', '研二', '大四', '新闻', '相关', '视频', '热爱', '分析', '稿件',
       '输出', '大三', '撰写'],
      dtype='object')"
准雀Accunique,数据分析,400-500/天,"Index(['数据分析', '数据', '佣金', '模型', '赚取', '擅长', '空余', 'Python', '我们', '一定', '熟练',
       '准雀', '分析师', '进行', '各个'],
      dtype='object')"
准雀Accunique,数据分析,400-500/天,"Index(['数据分析', '数据', '佣金', '熟练', '赚取', '擅长', '空余', '一定', '使用', '我们', '方法',
       '模型', '相关', '准雀', '进行'],
      dtype='object')"
易起跑,数据分析实习,80-100/天,"Index(['实习', '了解', '应用', 'sql', '熟练', '掌握', '环境', '大牛', '数据分析', 'mysql', '优先',
       '相关', '指导', '毕业', '优秀'],
      dtype='object')"
海智鑫教育,络推数据分析,100-200/天,"Index(['SEO', 'SEM', 'DSP', '方案', '推广', '制定', '优化', '数据', '分析', '熟悉', '协调',
       '相关', '网络', '各种', '形成'],
      dtype='object')"
00DATA,数据分析,120-200/天,"Index(['数据', '业务', '统计分析', '深入', '方向', '好学', '一定', '金融', '发展', '解释', '熟练',
       '行业', '软件', '积极', '专业'],
      dtype='object')"
字节跳动,数据分析实习,120-150/天,"Index(['数据', '业务', '数据分析', '搭建', '策略', '提供', '分析', '运营', '基础', '良好', '数据库',
       '进行', '需求', '统计分析', '工具'],
      dtype='object')"
字节跳动,数据分析实习,120-150/天,"Index(['数据', '数据分析', '业务', '策略', '提供', '分析', '搭建', '良好', '熟悉', '基础', '基本原理',
       '运营', '需求', '承担', '入职'],
      dtype='object')"
网易,大数据开发与数据分析实习,180-250/天,"Index(['开发', '熟悉', '数据', 'sql', '熟练掌握', '监控', '以后', 'hive', 'python', '以下',
       '毕业生', '语言', '进行', '精通', '分布式计算'],
      dtype='object')"
京东,销售管理——数据分析助理（实习）,100-120/天,"Index(['数据', 'semi', '实习', '分析', '熟悉', '基本', '低于', '具备', '通过', '销售', '专业性',
       '提取', '接送', '输出', '四天'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['数据', '优先', '开发', '20', '业务', '配置', 'sql', '报表', '任职', '资格', '专业', '毕业',
       '项目', '编写', '参与'],
      dtype='object')"
京东数科,数据分析实习,150-200/天,"Index(['数据', '数据分析', '熟悉', '产品', '进行', '运营', '问题', '帮助', '互联网', '过程', '任职',
       '经验', '意识', '执行', '优秀'],
      dtype='object')"
